"CN","type","plat","TP"
"C_287","Solid tumor","Agilent","Solid tumor_Agilent"
"C_288","Solid tumor","Agilent","Solid tumor_Agilent"
"C_289","Solid tumor","Agilent","Solid tumor_Agilent"
"C_290","Solid tumor","Agilent","Solid tumor_Agilent"
"C_291","Solid tumor","Agilent","Solid tumor_Agilent"
"C_292","Solid tumor","Agilent","Solid tumor_Agilent"
"C_293","Solid tumor","Agilent","Solid tumor_Agilent"
"C_294","Solid tumor","Agilent","Solid tumor_Agilent"
"C_295","Solid tumor","Agilent","Solid tumor_Agilent"
"C_296","Solid tumor","Agilent","Solid tumor_Agilent"
"C_297","Solid tumor","Agilent","Solid tumor_Agilent"
"C_298","Solid tumor","Agilent","Solid tumor_Agilent"
"C_299","Solid tumor","Agilent","Solid tumor_Agilent"
"C_300","Solid tumor","Agilent","Solid tumor_Agilent"
"C_301","Solid tumor","Agilent","Solid tumor_Agilent"
"C_302","Solid tumor","Agilent","Solid tumor_Agilent"
"C_303","Solid tumor","Agilent","Solid tumor_Agilent"
"C_304","Solid tumor","Agilent","Solid tumor_Agilent"
"C_305","Solid tumor","Agilent","Solid tumor_Agilent"
"C_306","Solid tumor","Agilent","Solid tumor_Agilent"
"C_307","Solid tumor","Agilent","Solid tumor_Agilent"
"C_308","Solid tumor","Agilent","Solid tumor_Agilent"
"C_309","Solid tumor","Agilent","Solid tumor_Agilent"
"C_310","Solid tumor","Agilent","Solid tumor_Agilent"
"C_311","Solid tumor","Agilent","Solid tumor_Agilent"
"C_312","Solid tumor","Agilent","Solid tumor_Agilent"
"C_313","Solid tumor","Agilent","Solid tumor_Agilent"
"C_314","Solid tumor","Agilent","Solid tumor_Agilent"
"C_315","Solid tumor","Agilent","Solid tumor_Agilent"
"C_316","Solid tumor","Agilent","Solid tumor_Agilent"
"C_317","Solid tumor","Agilent","Solid tumor_Agilent"
"C_318","Solid tumor","Agilent","Solid tumor_Agilent"
"C_319","Solid tumor","Agilent","Solid tumor_Agilent"
"C_320","Solid tumor","Agilent","Solid tumor_Agilent"
"C_321","Solid tumor","Agilent","Solid tumor_Agilent"
"C_322","Solid tumor","Agilent","Solid tumor_Agilent"
"C_323","Solid tumor","Agilent","Solid tumor_Agilent"
"C_324","Solid tumor","Agilent","Solid tumor_Agilent"
"C_325","Solid tumor","Agilent","Solid tumor_Agilent"
"C_326","Solid tumor","Agilent","Solid tumor_Agilent"
"C_327","Solid tumor","Agilent","Solid tumor_Agilent"
"C_328","Solid tumor","Agilent","Solid tumor_Agilent"
"C_329","Solid tumor","Agilent","Solid tumor_Agilent"
"C_330","Solid tumor","Agilent","Solid tumor_Agilent"
"C_331","Solid tumor","Agilent","Solid tumor_Agilent"
"C_332","Solid tumor","Agilent","Solid tumor_Agilent"
"C_333","Solid tumor","Agilent","Solid tumor_Agilent"
"C_334","Solid tumor","Agilent","Solid tumor_Agilent"
"C_335","Solid tumor","Agilent","Solid tumor_Agilent"
"C_336","Solid tumor","Agilent","Solid tumor_Agilent"
"C_337","Solid tumor","Agilent","Solid tumor_Agilent"
"C_338","Solid tumor","Agilent","Solid tumor_Agilent"
"C_339","Solid tumor","Agilent","Solid tumor_Agilent"
"C_340","Solid tumor","Agilent","Solid tumor_Agilent"
"C_341","Solid tumor","Agilent","Solid tumor_Agilent"
"C_342","Solid tumor","Agilent","Solid tumor_Agilent"
"C_343","Solid tumor","Agilent","Solid tumor_Agilent"
"C_344","Solid tumor","Agilent","Solid tumor_Agilent"
"C_345","Solid tumor","Agilent","Solid tumor_Agilent"
"C_346","Solid tumor","Agilent","Solid tumor_Agilent"
"C_347","Solid tumor","Agilent","Solid tumor_Agilent"
"C_348","Solid tumor","Agilent","Solid tumor_Agilent"
"C_349","Solid tumor","Agilent","Solid tumor_Agilent"
"C_350","Solid tumor","Agilent","Solid tumor_Agilent"
"C_351","Solid tumor","Agilent","Solid tumor_Agilent"
"C_352","Solid tumor","Agilent","Solid tumor_Agilent"
"C_353","Solid tumor","Agilent","Solid tumor_Agilent"
"C_354","Solid tumor","Agilent","Solid tumor_Agilent"
"C_355","Solid tumor","Agilent","Solid tumor_Agilent"
"C_356","Solid tumor","Agilent","Solid tumor_Agilent"
"C_357","Solid tumor","Agilent","Solid tumor_Agilent"
"C_358","Solid tumor","Agilent","Solid tumor_Agilent"
"C_359","Solid tumor","Agilent","Solid tumor_Agilent"
"C_360","Solid tumor","Agilent","Solid tumor_Agilent"
"C_361","Solid tumor","Agilent","Solid tumor_Agilent"
"C_362","Solid tumor","Agilent","Solid tumor_Agilent"
"C_363","Solid tumor","Agilent","Solid tumor_Agilent"
"C_364","Solid tumor","Agilent","Solid tumor_Agilent"
"C_365","Solid tumor","Agilent","Solid tumor_Agilent"
"C_366","Solid tumor","Agilent","Solid tumor_Agilent"
